filename,label,feature,value,z_score
hindi2.wav,Human,HNRdBACF_sma3nz_stddevNorm,9.543937,6.13
russian10.wav,Human,spectralFluxUV_sma3nz_amean,0.7187886,6.12
english317.wav,Human,spectralFlux_sma3_amean,0.92229563,6.12
turkish9.wav,Human,mfcc2V_sma3nz_stddevNorm,158.54388,6.11
korean11.wav,Human,loudness_sma3_amean,1.4808239,6.08
english469.wav,Human,shimmerLocaldB_sma3nz_amean,2.2944508,6.08
italian29.wav,Human,spectralFluxV_sma3nz_amean,1.3227825,6.07
english277.wav,Human,mfcc2_sma3_stddevNorm,461.78622,6.06
english519.wav,Human,mfcc2V_sma3nz_stddevNorm,157.29327,6.06
korean11.wav,Human,spectralFluxUV_sma3nz_amean,0.71027225,6.03
english265.wav,Human,loudness_sma3_percentile80.0,2.3869371,6.03
mandarin19.wav,Human,loudness_sma3_stddevRisingSlope,14.486889,6.02
spanish105.wav,Human,spectralFlux_sma3_amean,0.90859914,5.99
farsi4.wav,Human,StddevVoicedSegmentLengthSec,0.36126205,5.99
spanish105.wav,Human,loudness_sma3_meanRisingSlope,26.55407,5.98
spanish105.wav,Human,loudness_sma3_meanFallingSlope,21.376331,5.97
portuguese35.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,24.01935,5.96
english352.wav,Human,spectralFlux_sma3_amean,0.90422577,5.95
english265.wav,Human,loudness_sma3_meanRisingSlope,26.462786,5.95
english439.wav,Human,logRelF0-H1-H2_sma3nz_amean,36.414047,5.93
english566.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1313.725,5.9
english105.wav,Human,spectralFlux_sma3_amean,0.8961776,5.88
hindi2.wav,Human,F3amplitudeLogRelF0_sma3nz_stddevNorm,-1.3199397,5.88
chaldean1.wav,Human,HNRdBACF_sma3nz_stddevNorm,9.138038,5.85
077515f3-8e88-45f8-b0d3-77bf716945ef.wav,AI,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1080.9585,5.84
94e0b858-8df0-43bb-a557-4155a5e179ab.wav,AI,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1080.9585,5.84
macedonian19.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,532.6552,5.83
